id,name,followers,genres,popularity,related_artists
2I8N8zPDGzwAa50TqFZcAY,Kristina Bazan,4356,['indie electropop'],18,
5qB8VZFvQcnDIrsj4jBMU9,TS Graye,6350,"['indie electropop', 'uk pop']",35,
1Q7oAWugLbJbjUs5aOoaMM,Lazykids,114,[],32,
0RFrFsjbt1dGJfCd6Q9eF2,Loby,1800,['trap soul'],28,
5Jxv8p3dEf5cFKiDaNdvLP,Angelicca,1603,[],35,
7I8zWeB6H1VuLk6eLq6luy,The Self-Escape,1650,[],26,
7b3ddZomn03lHn6Uvmmyp9,Ja¥en X District,7847,['trap soul'],36,
2SPIThivWqjfsjlYPNxYX9,Limi,3223,[],38,
359shARYhqeEGrmwgOEOLS,Natalie,2843,[],29,
0baNijcOcp1fvs5OKJBTUH,Jordyne,2807,['trap soul'],30,
5phaV5dbc32e9OHxThLIg2,MIRA,833,[],27,
1ZyteyKrx7qwKMwFYLAB1p,OZZIE,30086,['trap soul'],47,
0JzoOfn4HXDNscG6Z5jUba,SMNM,8902,[],29,
4qi0bcIaLhW1Tf8WSf7y5y,LVNDVN,13037,['trap soul'],29,
4FzthA7DjutA71z91I1DKX,CASHFORGOLD,15045,"['wave', 'witch house']",41,
6L2J0lrqalkp9BEEDj1elG,Shaker,15845,['trap soul'],43,
0vnUJWW8wWDGcSdwFYCIB0,Adrian Daniel,13474,['trap soul'],39,
4XX9YjNQrHTZfZz3DCX6DP,GIRLI,149762,"['alt z', 'dark pop', 'escape room', 'indie pop', 'pop', 'proto-hyperpop']",55,
0zCrrgklotTrkkJDNUAury,ZAND,24066,"['alt z', 'dark pop', 'escape room', 'indie poptimism']",43,
0ISnunIc13qlLYVPzxXvBs,Baby Snooks,1607,"['alt z', 'sad lo-fi']",26,
0usoeAOGoNP4O1Jmqj1x4f,MeLoveMeAlot,9447,['alt z'],27,
6R24qEXwdCWtZXamJtuhWX,InYourDre4mz,6445,[],23,
2ZDMFvdzOxmPoXNXpSagLR,Rosie Ugly,1322,[],26,
4KvJPTW5GGjm49mMuzftPA,FLAVIA,9926,"['alt z', 'indie electropop', 'la pop']",42,
2pHQOZq131jMXYSTjP3Ncx,Akenya,4067,[],36,
6PZUrbjktV3P6m9RSuqzX5,Elliot Lee,33546,"['alt z', 'nyc pop']",42,
5qLjCUKw1qrmVyeVAqKOub,Avalon,5094,[],26,
0TC9HQq2I2GIIkK3zLD493,Medusa,11810,[],33,
2UohWHL7qRzLskhtCAIZuY,Ella Malarkey,1393,[],20,
1v8l1Pt24zAXjP3O95SjRn,Eyas,1711,[],21,
6YI7BlIyUuMptKv60F9SPv,alali,1932,['chill r&b'],24,
18UrIT17pqz5fG7J85iwSh,LUNA AURA,19956,"['alt z', 'indie electropop', 'indie poptimism']",42,
2j551jqYq2HQH3R63vtSQi,So Below,25856,"['electropop', 'indie electropop', 'indie poptimism', 'nz pop', 'vapor soul']",42,
1QiXZr91PL7BG5jT7j14uB,Dana Dentata,25694,['pink noise'],35,
2cHLzuB7J9TfkwTMFmTe5E,ONZ,1765,['trap soul'],23,
6NRSfOnXw4qaypEfIV2QXn,Dutch Melrose,10274,['trap soul'],43,
2aenOcvulZ1Zltq7bAdbi4,Chymes,28694,"['alt z', 'australian electropop']",42,
74qSjJarNp1Ilz2kp7IMdL,TRACES,12462,['alternative r&b'],34,
42lwXNRrnNkxxyj0YVsxZG,4ever Falling,10259,['emo rap'],35,
4sQbfQRN4Ftj3WJVaVgFvz,xoxomyah,21484,"['alt z', 'pink noise']",36,
7KbY6uJv0jwIZFLxI3kG5W,Sarah Skinner,2300,['indie electropop'],15,
7BTM2IUcZZsdCANUS3wFKy,Liyv,4401,['indie electropop'],8,
4tp1pUIwgLWIIIIOo1yPYp,Anuka,7072,['indie electropop'],33,
5WV3ngokHMKB6pmuRprszb,Mïrändä,7019,['indie electropop'],26,
2diXk6bGS18SxXeoINo8MQ,Rituals of Mine,6763,"['indie electropop', 'sacramento indie']",25,
1nTVRSMfzkCSct5efMdqrg,lemin.,5542,"['canadian contemporary r&b', 'indie electropop']",25,
4uwIzZYa9X7krqWld1B7JV,Chloe Tang,5811,['indie electropop'],30,
31rxF8WiC0tz6yNzgVP5Tf,Emily Blue,5300,[],26,
5Bff2ovjNhOhKU6kHEXKHy,LANNDS,3058,"['indie electropop', 'jacksonville indie']",16,
0cIsZBvqdqr2KIdAjxCriY,Bailey Baum,4769,['indie electropop'],29,
1LFfKkCrn95l1ZuxCNa3yN,Jades Goudreault,13192,"['alt z', 'indie electropop', 'la pop']",41,
3VjZEaHXvNbCmV5jc0VfZR,Grace Mitchell,71165,"['electropop', 'indie electropop', 'indie poptimism', 'vapor soul']",39,
6wKxOKEA3K6R2UZ3COLXEY,Elohim,165151,"['alt z', 'edm', 'electropop', 'indie electropop', 'indie poptimism', 'indietronica', 'la pop', 'vapor soul', 'vapor twitch']",54,
4uethVhVpoyO3OhT40JH1o,machineheart,74044,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'vapor soul']",38,
5koilOAvfuLq4O2yc9UWft,Annabel Jones,28128,"['indie poptimism', 'metropopolis']",25,
3rGhySBeli7RDNfKZjvvkr,Stalgia,13636,[],33,
7cTaYwNT1P49mASgKULKab,MOONZz,36705,"['electropop', 'indie electropop', 'indie poptimism', 'pop edm']",42,
